name,age_group,sex,year,population,total_inactive_population,total_unemployed_population,total_employed_population,Less than basic_inactive,Basic_inactive,Intermediate_inactive,Advanced_inactive,Level not stated_inactive,Less than basic_unemployment,Basic_unemployment,Intermediate_unemployment,Advanced_unemployment,Level not stated_unemployment
Kenya,25-35,female,2022,4739996.736,553726.4186995199,157152.58771146002,4029117.72958902,20831187.87147594,10266087.8026891,11500897.716389028,8405567.035858713,27509128.48099215,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,female,2023,4846339.104,562514.5798012799,159658.1400168863,4124166.384181834,21161798.49212415,10429020.30951573,11683427.822472584,8538971.32138343,27945724.324527588,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,female,2024,4952681.472,576888.33785856,161904.3459632333,4213888.788178206,21702539.270239025,10695509.783897702,11981970.777322292,8757164.968692942,28659812.624813262,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,male,2015,4085025.92,268263.6521664,51678.96110646695,3765083.3067271328,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,male,2016,4166646.272,270790.34121728,52477.17938764324,3843378.751395077,20.44,3.7,4.25,12.09,22.42,21049.100313480707,128057.4740177413,105928.99888007056,13881.193407658127,1873.540165215341
Kenya,25-35,male,2017,4248266.624,283996.6238144,77660.0493036359,3886609.950881964,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,male,2018,4329886.976,297723.02846976003,102658.89410411989,3929505.05342612,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,male,2019,4411507.328,310217.19530495995,129846.84560112497,3971443.287093915,21.77,9.11,8.0,9.44,19.78,53678.21971394469,154729.86219259413,82954.48401819798,16906.208607241162,1948.458644634394
Kenya,25-35,male,2020,4493127.68,354193.25501439994,154009.74995371417,3984924.6750318855,7710787.161663487,3226700.553181183,2833546.0401151995,3343584.327335935,7005942.584184831,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,male,2021,4598833.344,326425.19075712,157950.92942538927,4114457.2238174905,7106276.402782502,2973733.4877973627,2611401.52605696,3081453.8007472125,6456690.273175834,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,male,2022,4704539.008,315110.02275584004,154464.005990742,4234964.979253419,6859945.195394637,2870652.3073057025,2520880.1820467203,2974638.61481513,6232876.250110516,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,male,2023,4810244.672,320699.01228224003,155562.75710922037,4333982.90260854,6981617.497384366,2921568.0018912065,2565592.09825792,3027398.675944345,6343426.462942708,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,male,2024,4915950.336,327451.45188096,156743.1218815064,4431755.762237534,7128618.107448499,2983082.726635545,2619611.61504768,3091141.705756262,6476989.718205389,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,female,2015,1120700.0,648818.058,84438.55470148,387443.3872985201,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,female,2016,1155980.0,673208.0726000001,86638.250091204,396133.677308796,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
