name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations
Rwanda,15-24,female,2015,1120700.0,57.894,648818.058,17.894,84438.55470148,387443.3872985201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,female,2016,1155980.0,58.237,673208.0726000001,17.946,86638.250091204,396133.677308796,22125129.822836775,121513.80917413729,1513925.2826321987,6397.741601831072,26631.249594613902,722200.6938428978,6167585.862409022,94757.95915458507,745137.0751839184,62845.382068550505,186078.91922494912,5203.476504373641,122911.15065572898,257795.89240754355,307070.6178785555,786680.1677125552,388604.9996520545,0,0,2039245.0199233468,0
Rwanda,15-24,female,2017,1191260.0,58.469,696517.8094,17.968,88895.27680700799,405846.913792992,22196824.444237288,136929.29759461642,1506434.6012524634,6210.340118758061,25851.171876456327,674208.0561792922,6448372.843858315,102840.64552578478,802761.6568787266,68205.9820399961,214855.07047236693,5739.987778332706,135584.06615110076,284376.27622223593,338834.19220841816,832108.8150409738,394597.34829073254,0,0,2087858.5705951024,0
Rwanda,15-24,female,2018,1226540.0,63.691,781195.5914,18.419,82027.98662003399,363316.421979966,21932473.55033079,134548.56106468794,1500017.499961562,6065.329539912473,25247.55060516412,834548.5720112248,6482906.172869623,103323.26290842363,782915.6358431631,68526.06358328242,203147.30100418365,5685.162537699667,134289.04091066393,281660.0687360346,298942.9590154324,779291.2894408877,379413.0837127645,0,0,2021134.2164813208,0
Rwanda,15-24,female,2019,1261820.0,63.503,801293.5545999999,18.032,83042.12863452802,377484.31676547206,215746.52519694078,1377.2424800224655,20701.494866206594,101.86459713936456,424.0217376858103,11109.452344113872,53129.63387342228,1121.338735989428,9952.502407498487,743.6943758630031,3350.351444937393,77.01957344683662,1819.2768598853586,3815.781555444083,3857.6040119931727,12035.136518524641,4884.945741679203,0,0,24701.957764431805,0
Rwanda,15-24,female,2020,1297100.0,59.025,765613.275,19.035,101168.49810375,430318.2268962499,22410763.633612305,127558.35606887689,1713804.1140858084,16712.19418249238,69566.20667834229,1609101.8862547136,4381845.114894114,97687.96500039159,780359.8143705874,64788.62080528186,260808.09046091014,7240.41248968164,171025.54985707684,358711.83383019525,300272.2102163779,967760.146680826,591750.7474369158,0,0,2040070.3584668771,0
Rwanda,15-24,female,2021,1335160.0,61.006,814527.7096,19.143,99664.63935127202,420967.65104872803,21561984.44043804,100727.50777785566,2155879.2853650837,13970.63385802674,58154.18321389994,1154197.0430155,5305513.86806046,113079.64967480631,1044985.5365509186,74996.69527915513,367435.35534506146,8069.313751194803,190604.9998165289,399778.0979422587,424889.1205043855,1188478.6961616059,478653.9671304319,0,0,2457398.5486131883,0
Rwanda,15-24,female,2022,1373220.0,61.847,849295.3734,18.698,97963.426681668,425961.1999183319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,female,2023,1411280.0,62.521,882346.3687999999,18.267,96620.30641130402,432313.324788696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,female,2024,1449340.0,63.065,914026.271,17.876,95692.68219604001,439621.04680396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
